user_id,item_id,rating,timestamp,recommended
807,1411,1,893082619,0
474,659,5,887925187,1
463,268,4,877384940,1
139,286,4,879537844,1
621,751,4,883799651,1
264,137,3,886122892,1
262,219,3,879794206,1
7,300,4,891350703,1
653,393,2,880152426,0
235,198,3,889655044,1
338,189,4,879438449,1
592,307,4,882607528,1
405,1478,1,885546636,0
394,176,5,881130008,1
325,1411,4,891478981,1
74,272,5,888333194,1
727,474,3,883710910,1
457,458,3,882393765,1
880,793,4,880174677,1
573,492,4,885843964,1
178,11,5,882826162,1
405,994,1,885549746,0
299,474,5,877880474,1
919,815,2,875289533,0
218,1073,5,881288265,1
15,111,4,879455914,1
749,238,3,878847863,1
610,275,4,888703453,1
343,135,5,876404568,1
478,137,4,889398260,1
870,1267,2,879270213,0
938,151,4,891356679,1
2,300,4,888979197,1
932,514,5,891249932,1
191,332,2,891562090,0
680,25,4,876816310,1
689,151,3,876676501,1
767,187,4,891462658,1
262,278,3,879790741,1
241,310,4,887249576,1
363,370,3,891500269,1
692,476,3,876953279,1
6,498,4,883601053,1
215,134,4,891435266,1
58,50,4,884304328,1
580,222,3,884125292,1
181,1296,1,878962006,0
454,492,3,888266643,1
643,674,3,891449901,1
693,218,4,875483473,1
838,72,4,887067162,1
99,409,2,885679411,0
488,200,2,891294606,0
7,268,3,891350703,1
697,1067,5,882622170,1
772,315,5,889028363,1
42,409,3,881106270,1
561,217,3,885810858,1
247,1022,4,893097024,1
108,471,2,879880076,0
487,282,4,883442105,1
568,494,4,877907835,1
178,1016,4,882824253,1
308,193,3,887737837,1
397,178,5,885349759,1
158,510,3,880134296,1
806,47,4,882387563,1
712,232,3,874956903,1
693,210,3,875484044,1
610,606,5,888703343,1
604,443,3,883668352,1
470,221,4,879178370,1
584,114,4,885778238,1
312,1172,5,891699538,1
820,264,3,887955180,1
455,508,4,882141385,1
316,323,1,880853152,0
868,726,2,877109926,0
152,944,4,882476632,1
450,612,4,882396564,1
809,333,3,891036903,1
320,233,4,884749281,1
896,225,1,887161518,0
379,621,4,880525815,1
486,883,3,879874388,1
561,234,3,885808824,1
235,483,5,889655204,1
393,154,2,887746302,0
637,408,5,882901355,1
254,15,3,886471307,1
869,282,3,884490987,1
427,680,5,879701326,1
264,1009,4,886124417,1
918,433,2,891987082,0
158,229,3,880134532,1
766,435,3,891309053,1
287,941,3,875335424,1
917,248,4,882912385,1
276,943,4,883822485,1
387,52,5,886483497,1
450,616,4,882373597,1
268,151,3,875742470,1
357,841,3,878951918,1
334,347,3,891547445,1
425,27,3,878738695,1
845,896,3,885409374,1
943,318,3,888639093,1
554,276,3,876548886,1
293,507,4,888905665,1
292,56,5,881105373,1
608,655,5,880405395,1
254,649,1,886474619,0
881,521,4,876537870,1
406,482,5,879446588,1
691,79,5,875543025,1
60,207,3,883327342,1
881,88,3,876538595,1
332,684,5,888360370,1
568,1203,5,877907281,1
70,161,3,884067638,1
7,391,3,892132943,1
487,820,3,883444884,1
632,679,4,879459321,1
916,195,3,880844920,1
886,1217,4,876033602,1
664,732,3,876525315,1
234,40,2,892335894,0
144,194,5,888105287,1
933,168,3,874853869,1
606,138,3,880927923,1
560,321,3,879975151,1
303,514,5,879466667,1
314,1152,4,877887469,1
500,133,3,883875681,1
433,474,3,880585759,1
634,274,3,876170992,1
825,508,4,880756725,1
407,519,4,875042466,1
897,465,5,879992030,1
716,95,4,879794775,1
524,520,3,884637314,1
36,873,3,882157386,1
720,872,3,891262780,1
536,195,4,882359431,1
452,603,4,887718667,1
21,551,3,874951898,1
324,273,5,880575449,1
381,225,3,892697495,1
650,72,2,891386755,0
181,146,1,878962955,0
38,400,1,892434036,0
689,471,4,876676433,1
169,483,3,891359200,1
91,616,4,891439439,1
1,83,3,875072370,1
160,640,3,876860808,1
299,1141,4,877880522,1
357,473,3,878951831,1
206,332,3,888179602,1
802,196,3,875985239,1
640,214,5,874778274,1
160,135,4,876860807,1
588,208,3,890023879,1
177,1110,3,880131123,1
42,451,2,881108982,0
201,656,4,884111775,1
815,65,5,878694664,1
59,125,3,888203658,1
849,406,4,879695125,1
716,180,3,879794815,1
314,763,5,877886706,1
222,732,4,878183425,1
145,106,4,875270655,1
868,662,2,877103714,0
425,318,2,878737841,0
370,435,3,879434999,1
554,1012,3,876231839,1
6,531,4,883600747,1
94,186,4,891722278,1
567,504,4,882425874,1
285,151,5,890595636,1
450,1249,3,882812821,1
109,755,5,880578814,1
63,306,3,875746948,1
641,64,4,879370337,1
702,300,3,885767461,1
279,80,4,875313750,1
829,192,5,881712519,1
239,288,2,889178513,0
617,635,4,883789716,1
916,421,5,880844291,1
642,204,4,885602593,1
405,969,3,885545015,1
896,28,2,887158738,0
621,1185,3,881445012,1
59,196,5,888205088,1
87,732,4,879876703,1
864,232,4,888889327,1
382,1381,3,875945757,1
664,203,4,876526685,1
340,502,2,884991678,0
185,321,5,883524428,1
43,781,3,883956494,1
276,289,2,890979634,0
362,264,1,885019695,0
109,395,3,880583672,1
624,597,3,879793129,1
254,21,3,886474518,1
619,300,5,885953684,1
429,248,5,882386870,1
29,189,4,882821942,1
622,588,4,882592246,1
105,307,2,889214381,0
121,292,4,891388960,1
40,337,4,889041523,1
655,872,3,888685879,1
889,94,4,880181646,1
659,86,5,891386071,1
881,172,4,876538986,1
346,1110,1,875264985,0
425,679,3,878738548,1
210,208,5,887730443,1
429,80,3,882386684,1
200,951,5,884130014,1
38,758,1,892434626,0
894,318,5,879897168,1
655,1100,3,887427371,1
897,56,2,879991037,0
